Feature,Importance
RECEIVED_QUARTER,0.25960245879182053
MONTH_COS,0.256137236511654
MONTH_SIN,0.21747560057366622
RECEIVED_MONTH,0.20881768742485035
RECEIVED_DAY_OF_WEEK,0.03892306250710249
EMPLOYER_AVG_PROC,0.006813689808770931
EMPLOYER_APP_COUNT,0.0023687686804526103
WAGE_PERCENTILE,0.002172761253356244
LOG_WAGE,0.0019602067448525533
SOC_AVG_PROC,0.001070183565943803
SOC_APP_COUNT,0.0009075532901077894
STATE_AVG_PROC,0.0008705991543512354
STATE_APP_COUNT,0.0008220403324624948
SEASON,0.0007830199476901013
EMPLOYMENT_DURATION_DAYS,0.0003646388443089288
